Hardness_Label,Trial_File,Max_Displacement,Max_Area,Dropoff_Ratio,Rise_Time_Frames
Shore 00-10,Trial_01,5.182,46.577,1.4022,81
Shore 00-10,Trial_02,5.0783,46.6707,1.416,81
Shore 00-10,Trial_03,5.0904,46.6224,1.4024,81
Shore 00-10,Trial_04,4.964,46.5559,1.4235,80
Shore 00-10,Trial_05,5.0687,46.577,1.4096,79
Shore 00-10,Trial_06,5.0588,46.574,1.4086,77
Shore 00-10,Trial_07,4.9975,46.5317,1.4147,78
Shore 00-10,Trial_08,4.9792,46.6224,1.4085,75
Shore 00-10,Trial_09,5.04,46.5529,1.4019,77
Shore 00-10,Trial_10,5.0421,46.568,1.4059,71
Shore 00-10,Trial_11,5.0456,46.574,1.4134,75
Shore 00-10,Trial_12,5.0288,46.6012,1.4096,76
Shore 00-10,Trial_13,4.9835,46.6405,1.4072,74
Shore 00-10,Trial_14,4.9586,46.5529,1.4235,72
Shore 00-10,Trial_15,5.042,46.6133,1.3999,72
Shore 00-10,Trial_16,5.0103,46.5559,1.4042,74
Shore 00-10,Trial_17,4.9806,46.5952,1.4128,78
Shore 00-10,Trial_18,5.0183,46.6163,1.4042,77
Shore 00-10,Trial_19,5.0407,46.6042,1.3998,85
Shore 00-10,Trial_20,5.019,46.6284,1.4046,74
Shore 00-15,Trial_01,4.5272,49.1084,1.5641,70
Shore 00-15,Trial_02,4.4724,46.4713,1.591,75
Shore 00-15,Trial_03,4.4183,46.3595,1.5994,76
Shore 00-15,Trial_04,4.4454,46.4471,1.5937,73
Shore 00-15,Trial_05,4.4449,46.4773,1.5865,75
Shore 00-15,Trial_06,4.4149,46.4955,1.5893,72
Shore 00-15,Trial_07,4.4225,46.4773,1.5851,74
Shore 00-15,Trial_08,4.4225,46.4562,1.5955,75
Shore 00-15,Trial_09,4.4018,46.4592,1.5907,74
Shore 00-15,Trial_10,4.4401,46.5136,1.592,73
Shore 00-15,Trial_11,4.4396,46.5166,1.5786,71
Shore 00-15,Trial_12,4.4323,46.4381,1.5851,60
Shore 00-15,Trial_13,4.4238,46.4079,1.5893,76
Shore 00-15,Trial_14,4.3712,46.4109,1.5974,76
Shore 00-15,Trial_15,4.4263,46.4411,1.579,71
Shore 00-15,Trial_16,4.3804,46.4562,1.6035,72
Shore 00-15,Trial_17,4.3981,46.5045,1.5838,75
Shore 00-15,Trial_18,4.3915,46.4441,1.5965,76
Shore 00-15,Trial_19,4.3804,46.4502,1.5931,62
Shore 00-15,Trial_20,4.4245,46.4199,1.5865,77
Shore 00-20,Trial_01,5.0223,49.0633,1.4956,65
Shore 00-20,Trial_02,5.2366,46.6284,1.4102,79
Shore 00-20,Trial_03,5.2353,46.5831,1.4125,77
Shore 00-20,Trial_04,5.1666,46.6103,1.4105,77
Shore 00-20,Trial_05,5.1955,46.6163,1.4073,75
Shore 00-20,Trial_06,4.8869,46.5257,1.5186,76
Shore 00-20,Trial_07,4.8376,46.4773,1.5083,74
Shore 00-20,Trial_08,4.9392,46.5015,1.499,72
Shore 00-20,Trial_09,4.9448,46.5347,1.4975,73
Shore 00-20,Trial_10,4.9381,46.4894,1.4999,74
Shore 00-20,Trial_11,4.9228,46.5227,1.4917,77
Shore 00-20,Trial_12,4.9106,46.5106,1.5012,74
Shore 00-20,Trial_13,4.9546,46.5831,1.4842,85
Shore 00-20,Trial_14,4.9678,46.5498,1.4848,86
Shore 00-20,Trial_15,4.9619,46.574,1.4716,86
Shore 00-20,Trial_16,4.9362,46.5287,1.495,85
Shore 00-20,Trial_17,4.9496,46.6012,1.4628,85
Shore 00-20,Trial_18,4.9457,46.5317,1.4869,86
Shore 00-20,Trial_19,4.9756,46.5529,1.4737,86
Shore 00-20,Trial_20,4.9386,46.5257,1.4767,86
Shore 00-25,Trial_01,5.7763,46.6133,1.4504,82
Shore 00-25,Trial_02,5.686,46.6163,1.4146,77
Shore 00-25,Trial_03,5.5637,46.7251,1.4723,77
Shore 00-25,Trial_04,5.5458,46.716,1.472,77
Shore 00-25,Trial_05,5.5508,46.71,1.4529,78
Shore 00-25,Trial_06,5.576,46.7069,1.4658,75
Shore 00-25,Trial_07,5.5134,46.6465,1.4845,77
Shore 00-25,Trial_08,5.5156,46.7402,1.4863,76
Shore 00-25,Trial_09,5.5125,46.71,1.4819,75
Shore 00-25,Trial_10,5.5463,46.7281,1.4746,74
Shore 00-25,Trial_11,5.5435,46.7734,1.4815,81
Shore 00-25,Trial_12,5.5212,46.7432,1.487,84
Shore 00-25,Trial_13,5.538,46.6888,1.4751,85
Shore 00-25,Trial_14,5.5425,46.7281,1.473,85
Shore 00-25,Trial_15,5.5161,46.6224,1.4802,85
Shore 00-25,Trial_16,5.5452,46.7644,1.4792,84
Shore 00-25,Trial_17,5.5198,46.6677,1.4828,85
Shore 00-25,Trial_18,5.5293,46.7281,1.4728,85
Shore 00-25,Trial_19,5.5069,46.7402,1.4882,84
Shore 00-25,Trial_20,5.5243,46.7009,1.4899,85
Shore 00-30,Trial_01,6.1695,46.6677,1.5752,67
Shore 00-30,Trial_02,6.0157,46.6918,1.5799,76
Shore 00-30,Trial_03,6.1514,46.6918,1.5614,80
Shore 00-30,Trial_04,6.1065,46.7221,1.5635,80
Shore 00-30,Trial_05,6.0778,46.7281,1.5702,76
Shore 00-30,Trial_06,5.9666,46.7251,1.5524,69
Shore 00-30,Trial_07,5.9184,46.7523,1.5516,76
Shore 00-30,Trial_08,5.979,46.7251,1.5479,78
Shore 00-30,Trial_09,5.9452,46.6344,1.5567,85
Shore 00-30,Trial_10,5.9765,46.7221,1.5385,79
Shore 00-30,Trial_11,5.8751,46.6556,1.5676,73
Shore 00-30,Trial_12,5.938,46.7976,1.5572,77
Shore 00-30,Trial_13,5.9329,46.6888,1.5578,84
Shore 00-30,Trial_14,5.9104,46.6918,1.5504,84
Shore 00-30,Trial_15,5.9209,46.7704,1.5633,85
Shore 00-30,Trial_16,5.9059,46.6193,1.5632,84
Shore 00-30,Trial_17,5.9082,46.6949,1.5551,83
Shore 00-30,Trial_18,5.9439,46.8157,1.5523,83
Shore 00-30,Trial_19,5.914,46.6314,1.5539,84
Shore 00-30,Trial_20,5.9147,46.7855,1.5556,85
Shore 00-40,Trial_01,6.3957,62.9558,1.3838,67
Shore 00-40,Trial_02,6.5058,46.9033,1.4966,79
Shore 00-40,Trial_03,6.467,46.8822,1.4951,77
Shore 00-40,Trial_04,6.4832,46.9245,1.494,79
Shore 00-40,Trial_05,6.4102,46.8671,1.4965,77
Shore 00-40,Trial_06,6.0816,46.7492,1.5432,76
Shore 00-40,Trial_07,6.0741,46.7462,1.5437,69
Shore 00-40,Trial_08,6.0954,46.7069,1.5405,71
Shore 00-40,Trial_09,6.0913,46.7402,1.5373,72
Shore 00-40,Trial_10,6.0731,46.7341,1.5453,75
Shore 00-40,Trial_11,6.0961,46.7221,1.5377,73
Shore 00-40,Trial_12,6.0399,46.716,1.5451,74
Shore 00-40,Trial_13,6.0573,46.7644,1.5543,72
Shore 00-40,Trial_14,6.0637,46.7644,1.5462,73
Shore 00-40,Trial_15,6.0873,46.7674,1.5478,73
Shore 00-40,Trial_16,6.0319,46.7795,1.5497,75
Shore 00-40,Trial_17,6.0408,46.719,1.5551,72
Shore 00-40,Trial_18,6.0461,46.7915,1.5441,77
Shore 00-40,Trial_19,6.0814,46.7946,1.5454,72
Shore 00-40,Trial_20,6.0643,46.7764,1.5419,71
Shore 00-50,Trial_01,7.5422,48.9099,1.225,68
Shore 00-50,Trial_02,6.7176,46.9909,1.5032,80
Shore 00-50,Trial_03,6.6813,46.8943,1.5126,72
Shore 00-50,Trial_04,6.6673,46.9486,1.5082,79
Shore 00-50,Trial_05,6.6362,46.9607,1.5092,77
Shore 00-50,Trial_06,6.6272,46.997,1.5111,74
Shore 00-50,Trial_07,6.6155,46.9033,1.512,77
Shore 00-50,Trial_08,6.673,46.9456,1.5158,77
Shore 00-50,Trial_09,6.6495,46.9094,1.5081,79
Shore 00-50,Trial_10,6.6649,46.9728,1.5083,81
Shore 00-50,Trial_11,6.6384,46.8973,1.511,79
Shore 00-50,Trial_12,6.6263,46.9094,1.5085,78
Shore 00-50,Trial_13,6.6364,46.9577,1.5092,75
Shore 00-50,Trial_14,6.6496,46.9577,1.5083,78
Shore 00-50,Trial_15,6.6179,46.9456,1.5069,76
Shore 00-50,Trial_16,6.6187,46.9335,1.5127,80
Shore 00-50,Trial_17,6.6255,46.9215,1.5146,78
Shore 00-50,Trial_18,6.6094,46.994,1.5145,80
Shore 00-50,Trial_19,6.5999,46.8882,1.5118,82
Shore 00-50,Trial_20,6.6287,46.8731,1.5098,82
Shore 00-60,Trial_01,7.8441,48.8765,1.4288,68
Shore 00-60,Trial_02,16.2121,48.0453,0.7627,84
Shore 00-60,Trial_03,7.6641,47.1692,1.4468,77
Shore 00-60,Trial_04,7.6108,47.145,1.4643,81
Shore 00-60,Trial_05,7.5826,47.1329,1.4586,79
Shore 00-60,Trial_06,6.9249,46.8097,1.5557,75
Shore 00-60,Trial_07,6.9238,46.9154,1.5545,75
Shore 00-60,Trial_08,6.8667,46.7976,1.5686,72
Shore 00-60,Trial_09,6.9085,46.8157,1.551,81
Shore 00-60,Trial_10,6.8728,46.7976,1.5642,84
Shore 00-60,Trial_11,6.8634,46.8731,1.5686,83
Shore 00-60,Trial_12,6.8681,46.8248,1.562,85
Shore 00-60,Trial_13,6.8623,46.858,1.5623,83
Shore 00-60,Trial_14,6.8563,46.7976,1.5605,84
Shore 00-60,Trial_15,6.8802,46.8187,1.5634,84
Shore 00-60,Trial_16,6.896,46.8157,1.559,84
Shore 00-60,Trial_17,6.8743,46.7704,1.5653,84
Shore 00-60,Trial_18,6.864,46.7825,1.5672,84
Shore 00-60,Trial_19,6.8281,46.8308,1.5653,83
Shore 00-60,Trial_20,6.9036,46.7825,1.5594,77
Shore 00-70,Trial_01,7.9763,47.003,1.3881,76
Shore 00-70,Trial_02,10.471,47.9335,1.1219,86
Shore 00-70,Trial_03,7.908,46.9607,1.3983,73
Shore 00-70,Trial_04,10.5014,47.8912,1.1014,83
Shore 00-70,Trial_05,7.9048,47.0302,1.3906,85
Shore 00-70,Trial_06,7.8735,47.0302,1.3913,85
Shore 00-70,Trial_07,7.8488,47.0091,1.3947,85
Shore 00-70,Trial_08,7.882,46.9698,1.3979,85
Shore 00-70,Trial_09,7.8526,47.0302,1.3893,85
Shore 00-70,Trial_10,7.8605,46.9607,1.3959,86
Shore 00-70,Trial_11,7.9145,47.0816,1.3391,85
Shore 00-70,Trial_12,7.9025,47.0453,1.3497,85
Shore 00-70,Trial_13,7.8853,47.0725,1.3515,86
Shore 00-70,Trial_14,7.9169,47.145,1.3456,85
Shore 00-70,Trial_15,7.9064,47.0816,1.3428,85
Shore 00-70,Trial_16,7.9128,47.0604,1.3469,85
Shore 00-70,Trial_17,7.8928,47.0816,1.3532,85
Shore 00-70,Trial_18,7.8838,47.0846,1.3505,84
Shore 00-70,Trial_19,7.8586,47.0121,1.3511,85
Shore 00-70,Trial_20,7.8856,47.0937,1.3468,85
Shore 00-80,Trial_01,8.1942,48.9337,1.3038,74
Shore 00-80,Trial_02,10.1839,47.5076,1.1844,87
Shore 00-80,Trial_03,10.3705,47.8369,1.1459,84
Shore 00-80,Trial_04,10.5788,47.4713,1.1017,83
Shore 00-80,Trial_05,8.046,46.9668,1.3217,79
Shore 00-80,Trial_06,8.039,47.003,1.33,80
Shore 00-80,Trial_07,8.0117,46.994,1.3282,81
Shore 00-80,Trial_08,8.0453,46.994,1.3298,81
Shore 00-80,Trial_09,7.9976,46.9849,1.3294,71
Shore 00-80,Trial_10,8.0244,46.9456,1.3283,82
Shore 00-80,Trial_11,8.0181,47.003,1.324,85
Shore 00-80,Trial_12,8.0084,47.0151,1.3329,86
Shore 00-80,Trial_13,8.0216,46.997,1.3294,85
Shore 00-80,Trial_14,8.0142,47.0,1.3283,86
Shore 00-80,Trial_15,8.0127,47.0151,1.33,85
Shore 00-80,Trial_16,8.0109,47.0332,1.3287,85
Shore 00-80,Trial_17,7.9967,47.0937,1.334,85
Shore 00-80,Trial_18,7.9685,46.9607,1.334,85
Shore 00-80,Trial_19,8.0001,47.0483,1.3287,85
Shore 00-80,Trial_20,7.9982,46.9547,1.3302,86
Shore 00-90,Trial_01,8.034,48.9729,1.391,65
Shore 00-90,Trial_02,8.4524,47.1239,1.4044,80
Shore 00-90,Trial_03,8.4371,47.0785,1.4082,80
Shore 00-90,Trial_04,8.4123,47.0906,1.405,79
Shore 00-90,Trial_05,8.4564,47.0151,1.3889,78
Shore 00-90,Trial_06,7.9708,47.1057,1.3584,78
Shore 00-90,Trial_07,8.017,47.0332,1.357,78
Shore 00-90,Trial_08,7.9504,47.0121,1.3602,73
Shore 00-90,Trial_09,7.975,46.9698,1.373,85
Shore 00-90,Trial_10,8.0103,47.0423,1.3523,85
Shore 00-90,Trial_11,7.978,47.0544,1.3631,85
Shore 00-90,Trial_12,7.9859,46.9849,1.368,84
Shore 00-90,Trial_13,7.9917,47.0091,1.3576,77
Shore 00-90,Trial_14,7.9589,47.0121,1.3737,77
Shore 00-90,Trial_15,8.0136,46.9728,1.3658,85
Shore 00-90,Trial_16,8.0129,47.0242,1.3597,84
Shore 00-90,Trial_17,7.9698,47.0393,1.3692,84
